value,product_id
3FF1E,52a1eca463f340be90000005
08CBB,52a1eca463f340be90000005
3A05F,52a1eca463f340be90000005
D90C2,52a1eca463f340be90000005
56758,52a1eca463f340be90000005
00A3D,52a1eca463f340be90000005
854A1,52a1eca463f340be90000005
E054B,52a1eca463f340be90000005
9D96D,52a1eca463f340be90000005
FA9CE,52a1eca463f340be90000005
A5CBF,52a1eca463f340be90000005
36F0A,52a1eca463f340be90000005
058F2,52a1eca463f340be90000005
49761,52a1eca463f340be90000005
EE972,52a1eca463f340be90000005
CD213,52a1eca463f340be90000005
FADD3,52a1eca463f340be90000005
BB2F7,52a1eca463f340be90000005
548B5,52a1eca463f340be90000005
00324,52a1eca463f340be90000005
4C509,52a1eca463f340be90000005
DE7D6,52a1eca463f340be90000005
1609D,52a1eca463f340be90000005
376D4,52a1eca463f340be90000005
1257C,52a1eca463f340be90000005
FE1E1,52a1eca463f340be90000005
D2FB1,52a1eca463f340be90000005
B7B74,52a1eca463f340be90000005
C9B65,52a1eca463f340be90000005
75613,52a1eca463f340be90000005
D37B0,52a1eca463f340be90000005
C0DD0,52a1eca463f340be90000005
9ABA3,52a1eca463f340be90000005
CA5B1,52a1eca463f340be90000005
9075D,52a1eca463f340be90000005
96016,52a1eca463f340be90000005
4CBD7,52a1eca463f340be90000005
D5FC9,52a1eca463f340be90000005
EAD12,52a1eca463f340be90000005
A4302,52a1eca463f340be90000005
350E2,52a1eca463f340be90000005
FAD76,52a1eca463f340be90000005
318F8,52a1eca463f340be90000005
05516,52a1eca463f340be90000005
A7C17,52a1eca463f340be90000005
50724,52a1eca463f340be90000005
C4739,52a1eca463f340be90000005
A24A4,52a1eca463f340be90000005
230C8,52a1eca463f340be90000005
EF629,52a1eca463f340be90000005
75046,52a103abd2a0e519d5000003
67D6C,52a103abd2a0e519d5000003
F72F2,52a103abd2a0e519d5000003
1DA5E,52a103abd2a0e519d5000003
AE2D1,52a103abd2a0e519d5000003
02AC7,52a103abd2a0e519d5000003
26F7C,52a103abd2a0e519d5000003
5E7CA,52a103abd2a0e519d5000003
F22AC,52a103abd2a0e519d5000003
C4B9B,52a103abd2a0e519d5000003
04775,52a103abd2a0e519d5000003
8A675,52a103abd2a0e519d5000003
4553E,52a103abd2a0e519d5000003
16E0F,52a103abd2a0e519d5000003
3993D,52a103abd2a0e519d5000003
A455F,52a103abd2a0e519d5000003
04770,52a103abd2a0e519d5000003
240CB,52a103abd2a0e519d5000003
C8F3C,52a103abd2a0e519d5000003
B2BE6,52a103abd2a0e519d5000003
D2F24,52a103abd2a0e519d5000003
222DC,52a103abd2a0e519d5000003
07899,52a103abd2a0e519d5000003
6FF35,52a103abd2a0e519d5000003
1931F,52a103abd2a0e519d5000003
B6047,52a103abd2a0e519d5000003
5930E,52a103abd2a0e519d5000003
A4F52,52a103abd2a0e519d5000003
C8615,52a103abd2a0e519d5000003
1E877,52a103abd2a0e519d5000003
9A9BF,52a103abd2a0e519d5000003
B5F58,52a103abd2a0e519d5000003
81538,52a103abd2a0e519d5000003
BD713,52a103abd2a0e519d5000003
A8682,52a103abd2a0e519d5000003
B6CA5,52a103abd2a0e519d5000003
80B30,52a103abd2a0e519d5000003
6A9FE,52a103abd2a0e519d5000003
55564,52a103abd2a0e519d5000003
72D27,52a103abd2a0e519d5000003
